Commit ID,Input Image,Run,Time (sec),Peak Memory (KB),CPU,OS,Notes
ef6888d163356d13505d983cd4d90bec78359f09,one_hill.jpg,1,0.253344924,41456,Intel(R) Core(TM) i5-9400F (6) @ 2.90 GHz,Ubuntu 24.04.3 LTS (Noble Numbat) x86_64,WSL
,,2,0.256556203,41716,,,
,,3,0.25808013,41708,,,
,,4,0.256262687,41844,,,
,,5,0.256314125,41584,,,
,turtle.jpg,1,9.584109685,62796,,,
,,2,9.520499169,63020,,,
,,3,9.755516447,63020,,,
,,4,9.456939244,63020,,,
,,5,9.420545105,63020,,,
64cfecd1a5449e7ea805b876d07082401a6a4987,one_hill.jpg,1,0.006849635,41456,,,Weird fast.
,,2,0.007505465,41460,,,
,,3,0.007256133,41584,,,
,,4,0.00724083,41580,,,
,,5,0.007289775,41584,,,
,turtle.jpg,1,0.212679107,63280,,,
,,2,0.208756747,63276,,,
,,3,0.209790511,63280,,,
,,4,0.215958677,63152,,,
,,5,0.21466159,63280,,,
55034eb2c272afdef14a2bcddc42304983b2b902,one_hill.jpg,1,0.015044278,41976,,,Use rstar. Peformace loose. Modify threshold.
,,2,0.015429408,41980,,,
,,3,0.015466829,42108,,,
,,4,0.015339721,42104,,,
,,5,0.015415447,41976,,,
,turtle.jpg,1,1.93509614,106052,,,
,,2,1.966930491,106172,,,
,,3,1.953594534,106172,,,
,,4,1.925695919,106168,,,
,,5,1.915473958,106296,,,
59c69a2a2124ea176cb938c841d51728284b2d10,one_hill.jpg,1,0.014791181,42100,,,Modify threshold.
,,2,0.01611945,41972,,,
,,3,0.01538977,41972,,,
,,4,0.015251621,41976,,,
,,5,0.014424156,42108,,,
,turtle.jpg,1,1.85520803,106172,,,
,,2,1.779707296,106172,,,
,,3,1.798508168,106300,,,
,,4,1.79825402,106300,,,
,,5,1.765137707,106300,,,
738b3e10e5a4b0a5bf77b76e7a9bec5e16e28e65,one_hill.jpg,1,0.013668129,41720,,,Modify threshold.
,,2,0.013174138,41980,,,
,,3,0.013764551,41984,,,
,,4,0.013691333,41848,,,
,,5,0.013619122,41848,,,
,turtle.jpg,1,1.077648538,328608,,,
,,2,1.039668008,328604,,,
,,3,1.04985446,328608,,,
,,4,1.032912003,328608,,,
,,5,1.062371947,328608,,,
3468ed5ae8d1ec5a474d8b8ecff6911caffe833b,one_hill.jpg,1,0.262322575,41980,,,Modify threshold.
,,2,0.268284626,41984,,,
,,3,0.270646031,42108,,,
,,4,0.266170763,41852,,,
,,5,0.267441349,42240,,,
,turtle.jpg,1,13.38902924,118716,,,
,,2,13.57649283,118588,,,
,,3,13.50118884,118716,,,
,,4,13.35747971,118844,,,
,,5,13.59044637,118588,,,
e27e32a69bc1ad5ebcf234e11bab2d0adae60baa,one_hill.jpg,1,0.254088825,42112,,,Modify threshold.
,,2,0.25417315,42104,,,
,,3,0.2558839,41856,,,
,,4,0.248472798,42108,,,
,,5,0.25303152,41980,,,
,turtle.jpg,1,10.12192557,123964,,,
,,2,10.03778675,123836,,,
,,3,9.849378604,123964,,,
,,4,10.08850259,123836,,,
,,5,9.880812211,123708,,,
c7c36b73b634cbb7a7a586066889bb27e01f0985,one_hill.jpg,1,0.013639682,42236,,,Modify threshold.
,,2,0.013434333,41980,,,
,,3,0.013531614,41980,,,
,,4,0.014275878,41980,,,
,,5,0.012916958,41984,,,
,turtle.jpg,1,0.891801599,124092,,,
,,2,0.90769041,124092,,,
,,3,0.887378002,123928,,,
,,4,0.887768387,124092,,,
,,5,0.897175302,124092,,,
936600679c926d7fe2c4d6f84c2ad581754da7fb,one_hill.jpg,1,0.011506239,45200,,,Modify threshold. Skip intermmediate.
,,2,0.01244199,45072,,,
,,3,0.011225368,45332,,,
,,4,0.011230746,45076,,,
,,5,0.01205113,45196,,,
,turtle.jpg,1,0.38675494,121404,,,
,,2,0.373773504,121404,,,
,,3,0.370016635,121276,,,
,,4,0.404386215,121404,,,
,,5,0.37990051,121404,,,
